epoch,cons_loss,ce_loss,contrast_loss,total_loss
0,0.027284111227039422,6.1692238656159875,4.565981176411994,6.1965079768430265
1,0.027083409619387065,6.16339417261498,4.5607564917234615,6.190477582234368
2,0.027128122381378558,6.152769523246266,4.554880541061687,6.179897645627644
3,0.02722036015137891,6.141600328071095,4.549301069473552,6.168820688222474
4,0.02729210890307326,6.124117552677047,4.541934129233672,6.151409661580121
5,0.02751008253196411,6.111092092834901,4.5361366572781145,6.138602175366865
6,0.02768801726296405,6.099217011549762,4.5321699993632665,6.126905028812726
7,0.027843565915093245,6.085856132418196,4.526233430220702,6.113699698333289
8,0.02800945834926913,6.073127748810243,4.5217194423497284,6.101137207159511
9,0.028152964608830825,6.054181208120328,4.51323312353865,6.082334172729158
10,0.028295667815918676,6.0388232057339675,4.507718986439928,6.067118873549886
11,0.028575872584620368,6.02232199740187,4.500568759775607,6.050897869986491
12,0.028781589320817282,6.00552832523239,4.4947750122747685,6.034309914553208
13,0.029111580522817985,5.983763674709285,4.487269974200525,6.012875255232102
14,0.02908163665680685,5.9791724213929935,4.486099568482872,6.0082540580498005
15,0.02939691870673516,5.959638290316145,4.478141873796409,5.98903520902288
16,0.02964606319736933,5.944141579565601,4.472665538297635,5.973787642762971
17,0.02967428657983508,5.9339878336291445,4.46909859692939,5.96366212020898
18,0.02997210181413967,5.91288677108622,4.45908115177511,5.942858872900359
19,0.03026492774451726,5.8974833131950595,4.4550238546924055,5.927748240939577
20,0.03033111624802663,5.882738784094837,4.4498917945077485,5.9130699003428635
21,0.030567066622114628,5.865561467464839,4.44415036317344,5.896128534086953
22,0.030658228270639885,5.862621367534745,4.442870968970183,5.893279595805384
23,0.03079063866600812,5.84642597448046,4.4380056557254255,5.877216613146468
24,0.031074701495050826,5.8311983892850785,4.433988397366533,5.862273090780129
25,0.03132316748672557,5.807077581637373,4.423952319911707,5.838400749124099
26,0.03172207021406878,5.788786834645494,4.417862917775306,5.820508904859563
27,0.03178808242778912,5.784336856592481,4.416908150521394,5.81612493902027
28,0.031907135455338194,5.769031366455221,4.411715304740121,5.800938501910559
29,0.03204126173856659,5.760562716243423,4.409040941256229,5.792603977981989
30,0.03220186439978185,5.745482170693228,4.403513185331755,5.77768403509301
31,0.03259848732779795,5.720659251525023,4.39637380002815,5.753257738852821
