epoch,cons_loss,ce_loss,contrast_loss,total_loss
0,0.028348100815560218,6.188355534990257,4.458955774797458,10.675659410603275
1,0.02740888959057977,6.192480423740137,4.428296160475116,10.648185473805833
2,0.027025347532025564,6.1836566457124515,4.411602527181679,10.622284520426156
3,0.026822684280504692,6.174717083155552,4.396708166487863,10.598247933923918
4,0.026809622559731253,6.166133869474179,4.383466526726696,10.576410018760606
5,0.026722837944523754,6.149394870918488,4.368707442952093,10.544825151815104
6,0.026810304966763916,6.12653352835468,4.352562580153207,10.505906413474651
7,0.026901382065125715,6.106622067567344,4.338075963136192,10.471599412768661
8,0.026858974726888064,6.10271983057539,4.329655018922325,10.459233824224604
9,0.02695708752339967,6.086329384384868,4.316000394732039,10.429286866640307
10,0.02690394291497558,6.068458726472944,4.302656637173947,10.398019306561867
11,0.027044271127642874,6.050419281576281,4.290353015204456,10.367816567908381
12,0.027217649245443187,6.031568344508376,4.27644618649349,10.33523218024731
13,0.02725749563808753,6.023303831849143,4.26940568362441,10.31996701111164
14,0.027274074198277754,6.003763606615156,4.254926601302958,10.285964282116392
15,0.027388138748775017,5.985331283551511,4.244077783878718,10.256797206179005
16,0.027565659850696537,5.972375927684463,4.235027300977261,10.234968888512421
17,0.02764937981406105,5.9553895241746275,4.223798086710065,10.206836990698754
18,0.027650989409292413,5.9434950084329765,4.215441856428842,10.18658785427111
19,0.02780638879739514,5.927653250293197,4.2049377488198685,10.16039738791046
20,0.027955551553413133,5.908672548900141,4.1932061977475605,10.129834298201114
21,0.02807004252779428,5.898255582167724,4.185522771327295,10.111848396022813
22,0.02817920331677822,5.868846717281876,4.170088627628076,10.06711454822673
23,0.028212579532970336,5.872015756981395,4.168094545881325,10.068322882395691
24,0.02820364855856539,5.852695645572983,4.157549356745783,10.038448650877331
25,0.028384661397713923,5.840426469517645,4.148962575698567,10.017773706613927
26,0.028608859690759228,5.818522809821869,4.137840561777632,9.98497223129026
27,0.028529035110270308,5.805227259609187,4.128768973261397,9.962525267980855
28,0.028712411454626333,5.79667720839242,4.122193969298746,9.947583589145793
29,0.028772802144358647,5.783273150987714,4.114094578217123,9.926140531349196
30,0.028946578772477458,5.765409186621692,4.104842015515978,9.899197780910148
31,0.029013805944368105,5.753763700200018,4.097195746742677,9.879973252887062
32,0.029075972413835683,5.74430458790788,4.090770953169493,9.864151513491208
33,0.029201301223833426,5.724499299147419,4.078616597942102,9.832317198313355
34,0.02927542879098208,5.708995065956472,4.071059205821741,9.809329700569196
35,0.02951676492518354,5.695459085090138,4.0637147125796735,9.788690562594995
36,0.029520766235122058,5.684086962280986,4.057756745926688,9.771364474442796
37,0.029597496187366616,5.6785021207042945,4.051997500045277,9.760097116936938
38,0.029675442777643692,5.659186476858977,4.0427747084715655,9.731636628108188
39,0.029949369291975118,5.643121099917688,4.035460905493977,9.70853137470364
40,0.03001321989729583,5.627828237052276,4.02663253512338,9.684473992072952
41,0.030160854265929384,5.614730955284332,4.018927554103816,9.663819363654078
42,0.030272625134300405,5.603435826078754,4.013462213712318,9.647170664925373
43,0.03022080920984812,5.5985009803950225,4.008597997861488,9.637319787466359
44,0.030372788224404104,5.579748097981248,3.9994040070293106,9.609524893234962
45,0.03049643327281854,5.57024340094807,3.9944628933879818,9.595202727608871
46,0.030567003535890133,5.554203430068827,3.986352132859631,9.571122566464348
47,0.030687790216059885,5.542289901002545,3.9792647985654455,9.55224248978405
48,0.031053899004010954,5.518979502615528,3.9696470031114384,9.519680404730977
49,0.031003983430216247,5.525605994964314,3.9713135055292432,9.527923483923773
50,0.030942611291865322,5.516412296027781,3.9636749719904962,9.511029879310144
51,0.0309439878040385,5.504398417250019,3.9575839388036282,9.492926343857686
52,0.03126561525930589,5.48354185853049,3.9492852275616657,9.464092701351461
53,0.03138947364151756,5.466044169720088,3.9420029448571605,9.439436588218767
54,0.031477848337702105,5.461420745493095,3.9363786995967973,9.429277293427594
55,0.031547017038634446,5.449851060582098,3.930811125541402,9.412209203162135
56,0.03167544482014725,5.436753981581358,3.924457776212247,9.392887202613752
57,0.03184268278914077,5.424594609536857,3.91952772563863,9.375965017964628
58,0.03190924390001553,5.412194786784805,3.91216145051974,9.35626548120456
59,0.03199429739545161,5.404082142304037,3.908855322365449,9.344931762064938
60,0.032077729545324764,5.396582380633488,3.9033829107462803,9.332043020925093
61,0.03210928462550183,5.383417517225319,3.8975250208489247,9.313051822699746
62,0.03228789903049436,5.364822193840954,3.889427998355616,9.286538091227065
63,0.03243580188985183,5.357688373494371,3.88574324701434,9.275867422398562
64,0.03242566754223309,5.350443100260797,3.881083627727544,9.263952395530573
65,0.0326041356947656,5.33343916741487,3.8740140656444515,9.240057368754087
66,0.032668228130613534,5.324604687289657,3.869014068184612,9.226286983604883
67,0.03276018022829406,5.3182804941016935,3.8647730517610213,9.215813726091008
68,0.032873735249599564,5.30152951445535,3.857927361381388,9.192330611086337
69,0.03302728370806881,5.29337154370602,3.8543707232608972,9.180769550674986
70,0.03309222366486755,5.279783663348617,3.848097094865603,9.160972981879087
71,0.03325383155389088,5.272979054495553,3.844452813406971,9.150685699456416
72,0.03318740575461187,5.265612174417371,3.8393303434425423,9.138129923614525
73,0.03337446133667064,5.251070098342183,3.8341195973280433,9.118564157006897
74,0.03352851086409293,5.243405090314206,3.830762955629937,9.107696556808236
75,0.03349988089404374,5.2440360661979035,3.8287345661181154,9.106270513210063
76,0.033625288857756376,5.2216769779954,3.819878339767456,9.075180606620613
77,0.03372856871895144,5.220428876787703,3.818037314949749,9.072194760456403
78,0.03391083503994986,5.200499828730788,3.8093556577914227,9.04376632156216
79,0.03401620912356911,5.188440928949374,3.805091840084468,9.027548978157412
80,0.03407824507731701,5.185710615086778,3.8021745224979435,9.021963382662038
81,0.03420845478355328,5.174618226345454,3.7976305016847416,9.00645718281375
82,0.03428628582890346,5.169937363294798,3.796137805296996,9.000361454420698
83,0.034300940146095284,5.156694548152317,3.7878865616343846,8.978882049932796
84,0.03452617500987008,5.13657834373902,3.782292654581159,8.95339717333005
85,0.034640708189701365,5.13476025055502,3.7791767421169817,8.948577700861703
86,0.03461901319570074,5.128138232453961,3.777073158281986,8.939830403931648
87,0.034760683861987614,5.1174987320588015,3.772416147116189,8.924675563036978
88,0.03480900731808114,5.115015607013881,3.7708322522796203,8.920656866611582
89,0.034906865036654695,5.092981654906941,3.7611998564729068,8.889088376416503
90,0.035028296061486844,5.092331128699757,3.759669817496683,8.887029242257928
91,0.035119436594231106,5.081689007928438,3.7558718607804487,8.872680305303117
92,0.035241201885531995,5.079207431490176,3.754926914366606,8.869375547742315
93,0.035254189204946856,5.065480686793817,3.7485973378208195,8.849332213819583
