epoch,cons_loss,ce_loss,contrast_loss,total_loss
0,0.02453227525990065,6.050536163122274,4.562427418705091,6.075068438382175
1,0.024291945114036016,6.048596235564711,4.558489706729636,6.0728881806787465
2,0.024301328221589674,6.049302850715845,4.561023008962549,6.073604178937435
3,0.024379545395128457,6.03511717718399,4.552756682444175,6.0594967225791185
4,0.024589786269785367,6.022053178646221,4.548592493227948,6.046642964916006
5,0.02473889447110868,6.011477969499878,4.543892988435025,6.036216863970987
6,0.024867368064791777,6.0019639735091985,4.538871705763999,6.02683134157399
7,0.02506793894830381,5.989574415674469,4.534371791646638,6.014642354622773
8,0.025189788569968036,5.978292904939169,4.530645123715531,6.003482693509136
9,0.025401558669044814,5.959891629126285,4.5226153993421025,5.98529318779533
10,0.02555925162791742,5.949144864360646,4.519321883234996,5.974704115988563
11,0.02575737705403497,5.937436903497124,4.514493749299402,5.963194280551159
12,0.025956254293018743,5.923384197027303,4.509549150207163,5.949340451320322
13,0.02606300021076017,5.910090320305137,4.50604218360515,5.936153320515897
14,0.02625593761206833,5.8949229986287275,4.499514555652782,5.921178936240795
15,0.02641870342339987,5.882252288699614,4.493218776316958,5.908670992123014
16,0.026751928111168662,5.863152557773812,4.487367858218776,5.889904485884981
17,0.02672272297310922,5.855039828482305,4.48484863752521,5.881762551455414
18,0.027054226997123617,5.84294966315481,4.480759359055456,5.870003890151934
19,0.027148040779775683,5.830955872739799,4.477754320152075,5.8581039135195745
20,0.027446766228121543,5.810493270710748,4.4685978425615955,5.837940036938869
21,0.027662475698478954,5.8025876984058185,4.46757513075951,5.830250174104298
22,0.027711284321511764,5.788041317045456,4.461427991028426,5.8157526013669685
23,0.027926041603320302,5.777717549513286,4.459330089361288,5.805643591116607
24,0.028057767890016856,5.769390633134063,4.456287996314379,5.79744840102408
25,0.028371732116673244,5.7459367295647406,4.447601941772936,5.7743084616814135
26,0.028488144024858678,5.742394443615865,4.4480655054174045,5.770882587640724
27,0.028605099767446518,5.731409304800664,4.445142875849505,5.7600144045681105
28,0.02892700642898157,5.70875560634331,4.43591658521719,5.737682612772291
29,0.02921304870614282,5.694149141645617,4.4342422374027715,5.72336219035176
30,0.029300874686194765,5.687107590849761,4.430744798266934,5.716408465535956
31,0.02946677165475569,5.675722804978664,4.426643393846802,5.705189576633419
32,0.02962778534754705,5.662721958605696,4.4218654261488854,5.692349743953242
33,0.02988355297319852,5.646750327678042,4.416343085960655,5.676633880651241
34,0.030019543485186907,5.637151950064336,4.4139580578191735,5.667171493549523
35,0.030238949835068522,5.631034392791036,4.413444077458363,5.661273342626104
36,0.03043865148659346,5.610455713383419,4.406160096714005,5.640894364870013
37,0.03059186614643971,5.601518183830647,4.4044275441522265,5.632110049977086
38,0.03073126527730825,5.595487743036292,4.403457957019138,5.6262190083136
39,0.03090087878101067,5.578595285749621,4.398016022337086,5.609496164530632
40,0.03100007104212672,5.571002702304825,4.39363177833854,5.6020027733469515
41,0.03129065078810031,5.557491616052412,4.393884098483431,5.5887822668405125
42,0.03138511611967699,5.55239915291159,4.390293950700574,5.583784269031267
43,0.03152236367072113,5.53229105982799,4.384481624870449,5.563813423498711
44,0.03186262904119167,5.519208036044229,4.381483442588539,5.551070665085421
45,0.03198131628276541,5.509271053952466,4.378137309263653,5.541252370235231
46,0.032190932678457365,5.493850810054675,4.374139986149532,5.526041742733132
47,0.032354260443307546,5.489634877512891,4.373352970130712,5.521989137956199
48,0.0325280780023406,5.473794415767091,4.367469719875648,5.5063224937694315
49,0.032590434005926094,5.469466936727442,4.368287027114096,5.502057370733368
50,0.03285611459282354,5.456968166484907,4.363658711140258,5.4898242810777305
51,0.03324294085922408,5.43508005884371,4.358351644374981,5.4683229997029335
52,0.03319250255939098,5.44145873362916,4.361755666101953,5.474651236188551
53,0.03330759876606993,5.42723065498738,4.357877096777297,5.46053825375345
54,0.03343444291487742,5.416029444000601,4.355329434695411,5.449463886915479
55,0.03371346737566161,5.404971217366972,4.352771369399727,5.438684684742634
56,0.033889392166170165,5.39396664326293,4.348721153541298,5.4278560354291
57,0.034066278183042774,5.385406841099958,4.347451291659463,5.419473119283001
58,0.034158538563126256,5.372803775252999,4.343505016096835,5.406962313816125
59,0.034451410870143875,5.359174088281416,4.339735825238061,5.39362549915156
60,0.034532504772281834,5.359858041607453,4.342086803124572,5.394390546379735
61,0.0345372662441044,5.352075170450173,4.338953342883039,5.386612436694278
62,0.034699674434814934,5.341102208608783,4.338293088549306,5.375801883043598
63,0.034891854942656675,5.329560101728031,4.335158289638475,5.364451956670688
64,0.035160180210255465,5.317608935359851,4.3318438260935626,5.352769115570107
65,0.03524325015421971,5.301069539808577,4.326618344867276,5.336312789962797
66,0.03545301081431515,5.29895908823273,4.3276633613304405,5.334412099047046
67,0.03556341222751929,5.290334079979923,4.324731499304567,5.325897492207442
68,0.03585449807664764,5.269212264495137,4.3186154031568,5.305066762571785
69,0.03591751224625899,5.26883628860058,4.319552102441453,5.304753800846839
70,0.036064048989853506,5.257927581030107,4.3178328734891425,5.293991630019961
71,0.03632916379647496,5.25060867242776,4.315381951833049,5.286937836224236
72,0.03638979379479059,5.237004033322465,4.311716249480786,5.273393827117255
73,0.03651592271685136,5.2358590749451155,4.314849155886164,5.2723749976619665
74,0.036747175040528005,5.218029734689438,4.307305095724558,5.254776909729966
75,0.036903447866555784,5.214514849250882,4.308821057531157,5.251418297117438
